Observation id	Observation date	Description	Media file	Total length	FPS	Subject	Behavior	Behavioral category	Modifiers	Behavior type	Start (s)	Stop (s)	Duration (s)	Comment start	Comment stop
Sask Beach Camera 2 July 30 M2U00726	2021-07-15 18:09:40		F:/Bat Videos/Sask Beach/Camera 2 July 30 3.00/M2U00726.MPG	5726.090	29.97	E77	END			POINT	348.000	348.000	NA		
Sask Beach Camera 1 July 25 M2U00512	2021-07-06 01:22:19		F:/Bat Videos/Sask Beach/Camera 1 July 25 22.50/M2U00512.MPG	5729.100	29.97	90F	END			POINT	364.000	364.000	NA		
Sask Beach Camera 1 July 25 M2U00512	2021-07-06 01:22:19		F:/Bat Videos/Sask Beach/Camera 1 July 25 22.50/M2U00512.MPG	5729.100	29.97	B9A	END			POINT	364.000	364.000	NA		
Sask Beach Camera 1 July 25 M2U00512	2021-07-06 01:22:19		F:/Bat Videos/Sask Beach/Camera 1 July 25 22.50/M2U00512.MPG	5729.100	29.97	C4B	END			POINT	364.000	364.000	NA		
Sask Beach Camera 1 July 25 M2U00512	2021-07-06 01:22:19		F:/Bat Videos/Sask Beach/Camera 1 July 25 22.50/M2U00512.MPG	5729.100	29.97	516	END			POINT	364.000	364.000	NA		
Sask Beach Camera 1 July 25 M2U00512	2021-07-06 01:22:19		F:/Bat Videos/Sask Beach/Camera 1 July 25 22.50/M2U00512.MPG	5729.100	29.97	3E4	END			POINT	364.000	364.000	NA		
Sask Beach Camera 1 July 25 M2U00512	2021-07-06 01:22:19		F:/Bat Videos/Sask Beach/Camera 1 July 25 22.50/M2U00512.MPG	5729.100	29.97	7F0	END			POINT	364.000	364.000	NA		
Sask Beach Camera 1 July 25 M2U00512	2021-07-06 01:22:19		F:/Bat Videos/Sask Beach/Camera 1 July 25 22.50/M2U00512.MPG	5729.100	29.97	D8A	END			POINT	364.000	364.000	NA		
Sask Beach Camera 1 July 25 M2U00512	2021-07-06 01:22:19		F:/Bat Videos/Sask Beach/Camera 1 July 25 22.50/M2U00512.MPG	5729.100	29.97	E77	END			POINT	364.000	364.000	NA		
Sask Beach Camera 2 July 28 M2U00653	2021-07-12 22:22:34		F:/Bat Videos/Sask Beach/Camera 2 July 28 00.00/M2U00653.MPG	5380.380	29.97	E77	Head lift			POINT	368.471	368.471	NA		
Sask Beach Camera 2 July 26 M2U00520	2021-07-12 17:00:00		F:/Bat Videos/Sask Beach/Camera 2 July 26 22.20/M2U00644.MPG	5493.490	29.97	90F	END			POINT	374.000	374.000	NA		
Sask Beach Camera 2 July 26 M2U00520	2021-07-12 17:00:00		F:/Bat Videos/Sask Beach/Camera 2 July 26 22.20/M2U00644.MPG	5493.490	29.97	B9A	END			POINT	374.000	374.000	NA		
Sask Beach Camera 2 July 26 M2U00520	2021-07-12 17:00:00		F:/Bat Videos/Sask Beach/Camera 2 July 26 22.20/M2U00644.MPG	5493.490	29.97	C4B	END			POINT	374.000	374.000	NA		
Sask Beach Camera 2 July 26 M2U00520	2021-07-12 17:00:00		F:/Bat Videos/Sask Beach/Camera 2 July 26 22.20/M2U00644.MPG	5493.490	29.97	516	END			POINT	374.000	374.000	NA		
Sask Beach Camera 2 July 26 M2U00520	2021-07-12 17:00:00		F:/Bat Videos/Sask Beach/Camera 2 July 26 22.20/M2U00644.MPG	5493.490	29.97	3E4	END			POINT	374.000	374.000	NA		
Sask Beach Camera 2 July 26 M2U00520	2021-07-12 17:00:00		F:/Bat Videos/Sask Beach/Camera 2 July 26 22.20/M2U00644.MPG	5493.490	29.97	7F0	END			POINT	374.000	374.000	NA		
Sask Beach Camera 2 July 26 M2U00520	2021-07-12 17:00:00		F:/Bat Videos/Sask Beach/Camera 2 July 26 22.20/M2U00644.MPG	5493.490	29.97	D8A	END			POINT	374.000	374.000	NA		
Sask Beach Camera 2 July 26 M2U00520	2021-07-12 17:00:00		F:/Bat Videos/Sask Beach/Camera 2 July 26 22.20/M2U00644.MPG	5493.490	29.97	E77	END			POINT	374.000	374.000	NA		
Sask Beach Camera 2 July 28 M2U00653	2021-07-12 22:22:34		F:/Bat Videos/Sask Beach/Camera 2 July 28 00.00/M2U00653.MPG	5380.380	29.97	C4B	Self-grooming			POINT	376.180	376.180	NA		
Sask Beach Camera 1 July 25 M2U00511	2021-07-01 18:41:57		F:/Bat Videos/Sask Beach/Camera 1 July 25 22.50/M2U00511.MPG	5731.230	29.97	C4B	ACU - Side			POINT	388.591	388.591	NA		
